name,short_name,district,state,district_name,district_type,ocdid,election_date,status,type,topics,summary,yes_vote,no_vote,yes_votes_total,no_votes_total,ballot_question,source,url
"Wisconsin Question 1, Prohibit Legislature from Delegating Appropriations Power Amendment (August 2024)",Question 1,562,WI,Wisconsin,State,ocd-division/country:us/state:wi,2024-08-13,Defeated,Legislatively referred constitutional amendment,State legislatures measures,Prohibit the legislature from delegating its power to appropriate money,"<p>A ""<strong>yes</strong>"" vote <u>supported</u>&nbsp;amending the state constitution to&nbsp;prohibit the legislature from delegating its power to appropriate money.</p>","<p>A ""<strong>no</strong>"" vote <u>opposed</u>&nbsp;amending the state constitution to prohibit the legislature from delegating its power to appropriate money.</p>",521191,703607,<p>Shall section 35 (1) of article IV of the constitution be created to provide that the legislature may not delegate its sole power to determine how moneys shall be appropriated?</p>,https://www.nytimes.com/interactive/2024/08/13/us/elections/results-wisconsin-primary.html,"https://ballotpedia.org/Wisconsin_Question_1,_Prohibit_Legislature_from_Delegating_Appropriations_Power_Amendment_(August_2024)"
New Mexico County Officer Salaries Amendment (2024),County Officer Salaries Amendment,543,NM,New Mexico,State,ocd-division/country:us/state:nm,2024-11-05,On the ballot,Legislatively referred constitutional amendment,Salaries of government officials,Authorize the board of county commissioners to set salaries for county officers and clarify that fees collected by the county are to be deposited into the county treasury,"<p>A ""<strong>yes</strong>"" vote <u>supports</u> amending the state constitution to&nbsp;authorize the board of county commissioners to set salaries for county officers and clarify that fees collected by the county are to be deposited into the county treasury.</p>","<p>A ""<strong>no</strong>"" vote <u>opposes</u>&nbsp;amending the state constitution to authorize the board of county commissioners to set salaries for county officers, thereby maintaining that the state legislature sets the salaries of county officers.</p>",,,,,https://ballotpedia.org/New_Mexico_County_Officer_Salaries_Amendment_(2024)
"South Dakota Constitutional Amendment G, Right to Abortion Initiative (2024)",Constitutional Amendment G,554,SD,South Dakota,State,ocd-division/country:us/state:sd,2024-11-05,On the ballot,Initiated constitutional amendment,Abortion,Provide a state constitutional right to abortion with a trimester framework for regulations,"<p>A <strong>""yes""</strong> vote <u>supports</u>&nbsp;providing for a state constitutional right to abortion in South Dakota, using a trimester framework for regulation:</p><ul><li>During the first trimester, the state would be prohibited from regulating a woman's decision to have an abortion;</li><li>During the second trimester, the state may regulate abortion, but ""only in ways that are reasonably related to the physical health of the pregnant woman;"" and</li><li>During the third trimester, the state may regulate or prohibit abortion, except ""when abortion is necessary, in the medical judgment of the woman's physician, to preserve the life and health of the pregnant woman.""</li></ul>","<p>A <strong>""no""</strong> vote <u>opposes</u>&nbsp;providing for a state constitutional right to abortion in South Dakota, using a trimester framework for regulation.</p>",,,,,"https://ballotpedia.org/South_Dakota_Constitutional_Amendment_G,_Right_to_Abortion_Initiative_(2024)"
"Arizona Proposition 135, Emergency Declarations Amendment (2024)",Proposition 135,514,AZ,Arizona,State,ocd-division/country:us/state:az,2024-11-05,On the ballot,Legislatively referred constitutional amendment,State executive official measures,"Provide for the legislature to terminate a state of emergency or alter the emergency powers of the governor during the state of emergency, and provide for any emergency powers granted to the governor to automatically terminate 30 days after the state of emergency is proclaimed, unless the state legislature extends the emergency powers granted to the governor, and except in cases for a state of war emergency or an emergency arising from a flood or a fire","<p>A <strong>""yes""</strong> vote <u>supports</u> providing for the state legislature to terminate a state of emergency or alter the emergency powers granted to the governor during a state of emergency, and providing for a state of emergency to automatically terminate 30 days after it is declared unless the state legislature extends the emergency powers granted to the governor, except in cases&nbsp;for a state of war emergency or an emergency arising from a flood or a fire.</p>","<p>A <span style=""font-weight: 700;"">""no""</span> vote <u>opposes</u> providing for the state legislature to terminate a state of emergency or alter the emergency powers granted to the governor during a state of emergency and providing for a state of emergency to automatically terminate 30 days after it is declared unless the state legislature extends the emergency powers granted to the governor, except in cases&nbsp;for a state of war emergency or an emergency arising from a flood or a fire.<br></p>",,,,,"https://ballotpedia.org/Arizona_Proposition_135,_Emergency_Declarations_Amendment_(2024)"
"North Dakota Constitutional Measure 2, Single-Subject Requirement for Initiatives and Require Constitutional Initiatives to be Passed Twice Amendment (2024)",Constitutional Measure 2,546,ND,North Dakota,State,ocd-division/country:us/state:nd,2024-11-05,On the ballot,Legislatively referred constitutional amendment,Direct democracy measures,Establish a single-subject rule for initiatives; increase the signature requirement for constitutional initiatives; and require constitutional initiatives to be approved at two elections,"<p>A ""<strong>yes</strong>"" vote <u>supports</u> this constitutional amendment to:&nbsp;</p><ul><li>establish a single-subject rule for initiatives (both statutory and constitutional), as determined by the secretary of state;</li><li>increase the signature requirement for constitutional amendment initiatives from 4% of the resident population to 5% of the resident population of the state; and</li><li>require proposed constitutional initiatives that have qualified for the ballot to be placed on the next primary election ballot, and, if approved, be placed on the next general election ballot, where it must be approved again to become effective.</li></ul>","<p>A ""<strong>no</strong>"" vote <u>opposes</u>&nbsp;this constitutional amendment to adopt a single-subject rule for initiatives and make changes&nbsp;to the signature requirement and election process for citizen-initiated constitutional initiatives.</p>",,,,,"https://ballotpedia.org/North_Dakota_Constitutional_Measure_2,_Single-Subject_Requirement_for_Initiatives_and_Require_Constitutional_Initiatives_to_be_Passed_Twice_Amendment_(2024)"
"Maine Question 5, State Flag Referendum (2024)",Question 5,531,ME,Maine,State,ocd-division/country:us/state:me,2024-11-05,On the ballot,Legislatively referred state statute,Motto and symbols,Replace the Maine state flag with a flag consisting of a pine tree and the North Star on a buff background,"<p>A ""<strong>yes</strong>"" vote <u>supports</u> replacing the existing state flag with a flag consisting of a pine tree and the North Star on a buff (light tan) background, often called the Pine Tree Flag.</p>","<p>A ""<span style=""font-weight: 700;"">no</span>"" vote <u>opposes</u>&nbsp;changing the Maine state flag design.<br></p>",,,"<p>""Do you favor making the former state flag, replaced as the official flag of the State in 1909 and commonly known as the Pine Tree Flag, the official flag of the State?""</p>",,"https://ballotpedia.org/Maine_Question_5,_State_Flag_Referendum_(2024)"
Georgia Creation of Tax Court Amendment (2024),Creation of Tax Court Amendment,522,GA,Georgia,State,ocd-division/country:us/state:ga,2024-11-05,On the ballot,Legislatively referred constitutional amendment,Taxes; State judiciary,,"<p>A ""<strong>yes</strong>"" vote <u>supports</u> creating the Georgia Tax Court to have concurrent jurisdiction with superior courts.</p>","<p>A ""<strong>no</strong>"" vote <u>opposes</u> creating the Georgia Tax Court.</p>",,,"Shall the Constitution of Georgia be amended so as to provide for the Georgia Tax Court to be vested with the judicial power of the state and to have venue, judges, and jurisdiction concurrent with superior courts?",,https://ballotpedia.org/Georgia_Creation_of_Tax_Court_Amendment_(2024)
Idaho Top-Four Ranked-Choice Voting Initiative (2024),Top-Four Ranked-Choice Voting Initiative,524,ID,Idaho,State,ocd-division/country:us/state:id,2024-11-05,On the ballot,Initiated state statute,Electoral systems,"Replace partisan primaries with open top-four primaries for the U.S. Senate, the U.S. House of Representatives, state legislature, elective state office, and county elective office; and establish ranked-choice voting for general elections, in which voters would rank the candidates","<p>A ""<strong>yes</strong>"" vote <u>supports</u>&nbsp;establishing open top-four primaries and ranked-choice voting for general elections, which would apply to congressional, gubernatorial, and state and county elected offices.</p>","<p>A ""<strong>no</strong>"" vote <u>opposes</u> establishing open top-four primaries and ranked-choice voting for general elections, which would apply to congressional, gubernatorial, and state and county elected offices.</p>",,,<p>Measure to (1) replace voter selection of party nominees with a top-four primary; (2) require a ranked-choice voting system for general elections.</p>,,https://ballotpedia.org/Idaho_Top-Four_Ranked-Choice_Voting_Initiative_(2024)
"Ohio Issue 1, Establish the Citizens Redistricting Commission Initiative (2024)",Issue 1,547,OH,Ohio,State,ocd-division/country:us/state:oh,2024-11-05,On the ballot,Initiated constitutional amendment,Redistricting measures,"Establish the Ohio Citizens Redistricting Commission (CRC), a 15-member non-politician commission responsible for adopting state legislative and congressional redistricting plans","<p>A <strong>""yes""</strong> vote <u>supports</u>&nbsp;establishing the Ohio Citizens Redistricting Commission (CRC), a 15-member <a href=""https://ballotpedia.org/Redistricting_commissions"" target=""_self"">non-politician commission</a> responsible for adopting state legislative and congressional redistricting plans.</p>","<p>A <strong>""no""</strong> vote <u>opposes</u> establishing the Ohio Citizens Redistricting Commission (CRC), thus keeping the Ohio Redistricting Commission, a <a href=""https://ballotpedia.org/Redistricting_commissions"" target=""_self"">politician commission</a> established in 2015 for state legislative districts, and the process established for congressional districts in 2018.</p>",,,"<p style=""text-align: center; ""><strong>Issue 1</strong></p><p style=""text-align: center; ""><strong>To create an appointed redistricting commission not elected by or subject to removal by the voters of the state<br></strong></p><p style=""text-align: center; ""><strong>Proposed Constitutional Amendment</strong></p><p style=""text-align: center; ""><strong>Proposed by Initiative Petition</strong></p><p style=""text-align: center; ""><strong>To repeal Sections 1, 2, 3, 4, 5, 6, 7, 8, 9 and 10 of Article XI,&nbsp;</strong></p><p style=""text-align: center; ""><strong>Repeal sections 1, 2 and 3 of Article XIX,</strong></p><p style=""text-align: center; ""><strong>And enact Sections 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 and 12 of Article XX of the Constitution of the State of Ohio</strong></p><p style=""text-align: center; ""><strong>A majority yes vote is necessary for the amendment to pass.</strong></p><p>The proposed amendment would:</p><p>1. Repeal constitutional protections against gerrymandering approved by nearly three-quarters of Ohio electors participating in the statewide elections of 2015 and 2018, and eliminate the longstanding ability of Ohio citizens to hold their representatives accountable for establishing fair state legislative and congressional districts.</p><p>2. Establish a new taxpayer-funded commission of appointees required to gerrymander the boundaries of state legislative and congressional districts to favor the two largest political parties in the state of Ohio, according to a formula based on partisan outcomes as the dominant factor, so that:</p><p>A. Each district shall contain single-member districts that are geographically contiguous, but state legislative and congressional districts will no longer be required to be compact; and</p><p>B. Counties, townships and cities throughout Ohio can be split and divided across multiple districts, and preserving communities of interest will be secondary to the formula that is based on partisan political outcomes.</p><p>3. Require that a majority of the partisan commission members belong to the state's two largest political parties.</p><p>4. Prevent a commission member from being removed, except by a vote of their fellow commission members, even for incapacity, willful neglect of duty or gross misconduct.</p><p>5. Prohibit any citizen from filing a lawsuit challenging a redistricting plan in any court, except if the lawsuit challenges the proportionality standard applied by the&nbsp;commission, and then only before the Ohio Supreme Court.</p><p>6. Create the following process for appointing commission members: Four partisan appointees on the Ohio Ballot Board will choose a panel of 4 partisan retired judges (2 affiliated with the first major political party and 2 affiliated with the second major political party). Provide that the 4 legislative appointees of the Ohio Ballot Board would be responsible for appointing the panel members as follows: the Ballot Board legislative appointees affiliated with the same major political party would select 8 applicants and present those to the Ballot Board legislative appointees affiliated with the other major political party, who would then select 2 persons from the 8 for appointment to the panel, resulting in 4 panel appointees. The panel would then hire a private professional search firm to help them choose 6 of the 15 individuals on the commission. The panel will choose those 6 individuals by initially creating a pool of 90 individuals (30 from the first major political party, 30 from the second major political party, and 30 from neither the first nor second major political parties). The panel of 4 partisan retired judges will create a portal for public comment on the applicants and will conduct and publicly broadcast interviews with each applicant in the pool. The panel will then narrow the pool of 90 individuals down to 45 (15 from the first major political party; 15 from the second major political party; and 15 from neither the first nor second major political parties). Randomly, by draw, the 4 partisan retired judges will then blindly select 6 names out of the pool of 45 to be members of the commission (2 from the first major political party; 2 from the second major political party; and 2 from neither the first nor second major political parties). The 6 randomly drawn individuals will then review the applications of the remaining 39 individuals not randomly drawn and select the final 9 individuals to serve with them on the commission, the majority of which shall be from the first and the second major political parties (3 from the first major political party, 3 from the second major political party, and 3 from neither the first nor second major political parties).</p><p>7. Require the affirmative votes of 9 of 15 members of the appointed commission to create legislative and congressional districts. If the commission is not able to determine a plan by September 19, 2025, or July 15 of every year ending in one, the following impasse procedure will be used: for any plan at an impasse, each commissioner shall have 3 days to submit no more than one proposed redistricting plan to be subject to a commission vote through a ranked-choice selection process, with the goal of having a majority of the commission members rank one of those plans first. If a majority cannot be obtained, the plan with the highest number of points in the ranked-choice process is eliminated, and the process is repeated until a plan receives a majority of first-place rankings. If the ranked-choice process ends in a tie for the highest point total, the tie shall be broken through a random process.</p><p>8. Limit the right of Ohio citizens to freely express their opinions to members of the commission or to commission staff regarding the redistricting process or proposed&nbsp;redistricting plans.</p><p>9. Require the commission to immediately create new legislative and congressional districts in 2025 to replace the most recent districts adopted by the citizens of Ohio through their elected representatives.</p><p>10. Impose new taxpayer-funded costs on the State of Ohio to pay the commission members, the commission staff and appointed special masters, professionals, and private consultants that the commission is required to hire; and an unlimited amount for legal expenses incurred by the commission in any related litigation.</p><p>If approved, the amendment will be effective 30 days after the election.</p><p>SHALL THE AMENDMENT BE APPROVED?</p>",,"https://ballotpedia.org/Ohio_Issue_1,_Establish_the_Citizens_Redistricting_Commission_Initiative_(2024)"
Rhode Island Cultural Arts and Economy Grant Program Bond Measure (2024),Cultural Arts and Economy Grant Program Bond Measure,552,RI,Rhode Island,State,ocd-division/country:us/state:ri,2024-11-05,On the ballot,Bond issue,Bond issues,"Issue $10 million in bonds for funding for 1:1 matching grants to continue the Cultural Arts and Economy Grant program administered by the Rhode Island state council on the arts, and for improvements and renovations to the Tomaquag Museum, the Newport Contemporary Ballet, and the Trinity Repertory Company","<p>A <span style=""font-weight: 700;"">""yes""</span> vote <u>supports</u> issuing $10 million in bonds for funding for 1:1 matching grants to continue the Cultural Arts and Economy Grant program administered by the Rhode Island state council on the arts, and for improvements and renovations to the Tomaquag Museum, the Newport Contemporary Ballet, and the Trinity Repertory Company.</p>","<p>A <span style=""font-weight: 700;"">""no""</span> vote <u>opposes</u> issuing $10 million in bonds for funding for 1:1 matching grants to continue the Cultural Arts and Economy Grant program administered by the Rhode Island state council on the arts, and for improvements and renovations to the Tomaquag Museum, the Newport Contemporary Ballet, and the Trinity Repertory Company.</p>",,,,,https://ballotpedia.org/Rhode_Island_Cultural_Arts_and_Economy_Grant_Program_Bond_Measure_(2024)
