"ballot_measure_id","committee_id","support_or_oppose","committee_name","cash_contributions","in_kind_contributions","report_end_date","source","top_donors_and_contributions"
"27470","1868","Oppose","Vera Institute of Justice Inc.","559674.75","0.00","2029-03-27","https://eap.ethics.la.gov/cfsearch/SearchScannedResults.aspx","{""ACLU of Louisiana: 25000.00"",""Foundation for Louisiana: 25000.00"",""Louisiana Center for Children's Rights: 20000.00"",""Navigation Charitable Fund: 20000.00"",""Vera Institute of Justice Inc: 449639.75""}"
"27471","1868","Oppose","Vera Institute of Justice Inc.","559674.75","0.00","2029-03-27","https://eap.ethics.la.gov/cfsearch/SearchScannedResults.aspx","{""ACLU of Louisiana: 25000.00"",""Foundation for Louisiana: 25000.00"",""Louisiana Center for Children's Rights: 20000.00"",""Navigation Charitable Fund: 20000.00"",""Vera Institute of Justice Inc: 449639.75""}"
"27472","1868","Oppose","Vera Institute of Justice Inc.","559674.75","0.00","2029-03-27","https://eap.ethics.la.gov/cfsearch/SearchScannedResults.aspx","{""ACLU of Louisiana: 25000.00"",""Foundation for Louisiana: 25000.00"",""Louisiana Center for Children's Rights: 20000.00"",""Navigation Charitable Fund: 20000.00"",""Vera Institute of Justice Inc: 449639.75""}"
"27473","1868","Oppose","Vera Institute of Justice Inc.","559674.75","0.00","2029-03-27","https://eap.ethics.la.gov/cfsearch/SearchScannedResults.aspx","{""ACLU of Louisiana: 25000.00"",""Foundation for Louisiana: 25000.00"",""Louisiana Center for Children's Rights: 20000.00"",""Navigation Charitable Fund: 20000.00"",""Vera Institute of Justice Inc: 449639.75""}"
"27473","1869","Support","Americans for Prosperity","241136.39","0.00","2029-04-28","https://eap.ethics.la.gov/cfsearch/SearchScannedResults.aspx","{""Americans for Prosperity: 199063.53""}"
"27516","1908","Support","Strong Ohio Communities Coalition","838500.00","0.00","2025-04-16","https://www6.ohiosos.gov/ords/f?p=CFDISCLOSURE:38:::NO:RP:P38_RP_ID:453862777","{""Flexible Pavements of Ohio: 30000.00"",""George J Igel & Co Inc.: 25000.00"",""IUOE Local 18: 50000.00"",""Ohioans for a Healthy Economy Action Fund: 25000.00"",""Ohio Construction Information Association: 150000.00"",""Ohio Laborer's District Council PCE: 50000.00""}"
"27525","1315","Support","Voter ID for ME","554959.50","6465.41","2025-07-15","https://mainecampaignfinance.com/#/exploreCommitteeDetail/487892","{""For Our Future: 10000.00"",""RSLC PAC: 500000.00""}"
"27525","1913","Oppose","Save Maine Absentee Voting","604915.71","69879.98","2025-07-15","https://mainecampaignfinance.com/index.html#/exploreBallotQuestionDetails/0/829/2025","{""Democracy Fund Voice: 100000.00"",""Justin Alfond: 130000.00"",""Michael A. Lambert: 85000.00"",""State Democracy Action Fund: 75000.00""}"
"27525","1914","Oppose","Maine People's Alliance","0.00","27458.79","2025-07-15","https://mainecampaignfinance.com/index.html#/exploreBallotQuestionDetails/0/829/2025",NULL
"27525","1915","Oppose","DGA Maine","51409.53","0.00","2025-07-15","https://mainecampaignfinance.com/index.html#/exploreBallotQuestionDetails/0/829/2025","{""Democratic Governors Association - Maine: 51409.53""}"
"27525","1916","Oppose","DCCC Maine","51409.52","0.00","2025-07-15","https://mainecampaignfinance.com/index.html#/exploreBallotQuestionDetails/0/829/2025","{""Democratic Congressional Campaign Committee - Maine: 51409.52""}"
"27560","1314","Support","Safe Schools, Safe Communities","428557.74","71085.22","2025-06-30","https://mainecampaignfinance.com/index.html#/exploreCommitteeOverview","{""Alliance for Gun Responsibility: 51500.00"",""David Fitz: 11035.25"",""Geoff Gratwick: 7000.00"",""Global Impact Social Welfare Fund: 75000.00"",""Maryanne Tagney: 10000.00""}"
"27560","1911","Oppose","Keep Maine Safe","6900.00","425.00","2025-06-30","https://mainecampaignfinance.com/index.html#/exploreCommitteeOverview","{""Gun Owners of Maine: 5000.00""}"
"27560","1912","Oppose","Protect ME - No Red Flag","12232.00","0.00","2025-06-30","https://mainecampaignfinance.com/index.html#/exploreCommitteeOverview","{""Jeffrey Richardson: 500.00"",""Robert Shelton: 1000.00"",""SAM-ILA: 5000.00"",""Wiscasset Rod & Gun Club: 1000.00""}"
"28073","1917","Oppose","No on Prop 50 - Protect Voters First","30094960.50","0.00","2025-06-30","https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1381029&view=electronic","{""Charles T. Munger, Jr.: 30094960.50""}"
"28073","1918","Support","Yes on 50, The Election Rigging Response Act, Governor Newsom’s Ballot Measure Committee","24303339.62","7802.84","2025-06-30","https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1380675&view=general","{""Andrew Hauptman: 300000.00"",""Bill Bloomfield: 1000000.00"",""California Faculty Association Political Issues Committee: 500000.00"",""California Teachers Association Issues PAC: 3000000.00"",""Gloria Page: 134000.00"",""House Majority PAC: 5020000.00"",""John Pritzker: 250000.00"",""Laurie Michaels: 750000.00"",""Michael Moritz: 2500000.00"",""Newsom for California Governor 2022: 2000000.00"",""Paul Graham: 500000.00"",""Pete Aguilar for Congress: 100000.00"",""Quinn Delaney: 450000.00"",""Reed Hastings: 2000000.00"",""SEIU California State Council: 1000000.00"",""SEIU Local 521: 500000.00"",""Service Employees International Union Local 721 CTW, CLC Workers' Strength Committee: 1000000.00"",""Standing Committee on Political Education of the California Labor Federation, AFL-CIO Small Contributor Committee: 1001300.00""}"
"28073","1919","Oppose","No on Prop 50 - Stop Sacramento's Power Grab","5091847.64","23637.67","2025-06-30","https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1483178&view=general","{""AMMACASO, Inc: 20000.00"",""Doug LaMalfa Committee: 0.00"",""Free California: A Ballot Measure Committee Controlled by James Gallagher: 0.00"",""Jason Davenport: 5000.00"",""Lynn Booth: 5000.00"",""Mercury Aviation Companies, LLC: 5000.00"",""No on Prop 50 Congressional Leadership Fund: 5000000.00"",""Susan Groff: 50000.00""}"
