"ballot_measure_id","support_oppose","endorsement_id","endorser_type","endorser_name","endorser_organizations_id","endorser_person_id","source"
27950,"Support","47749","Government-State Representatives","State Rep. Senfronia Thompson",NULL,"50887","https://www.texastribune.org/2025/04/28/texas-dementia-research-funding/"
25837,"Support","40909","Government-U.S. House","U.S. Rep. Dina Titus",NULL,"14719","https://voteyesnv.com/"
26107,"Oppose","42889","Organization","Election Integrity Project California, Inc.","31973",NULL,"https://leginfo.legislature.ca.gov/faces/billAnalysisClient.xhtml?bill_id=202320240SCA1"
23848,"Support","39685","Organization","Represent.Us","20734",NULL,"https://represent.us/2024-democracy-reforms/"
25883,"Support","40293","Organization","One Colorado","20905",NULL,"https://www.freedomtomarryco.com/endorsements"
23512,"Support","21932","Organization","COPAL","26710",NULL,"https://environmental-initiative.org/news-ideas/collaborative-policy-victory-lottery-reauthorization-for-minnesota/"
27609,"Oppose","44359","Government-State Representatives","House Minority Leader Todd Achilles",NULL,"531878","https://www.boisestatepublicradio.org/politics-government/2025-02-13/idaho-school-attendance-constitution-house"
26068,"Support","39947","Government-State Representatives","State Rep. Matthew Ruby",NULL,"38561","https://www.pbs.org/newshour/nation/north-dakota-voters-will-revisit-marijuana-legalization-after-rejecting-idea-in-2018-and-2022"
23551,"Support","42014","Organization","Working Families Party of Oregon","19775",NULL,"https://oregonvotes.gov/voters-guide/english/votersguide.html#Arguments%20in%20Favor"
23424,"Support","21541","Government-State Representatives","State Rep. Barbara Parker",NULL,"353076","https://apps.azleg.gov/BillStatus/BillOverview/79137"
27924,"Oppose","47763","Government-State Senators","State Sen. Heidi Campbell",NULL,"327558","https://tennesseeconservativenews.com/initiative-permanently-banning-tennessee-statewide-property-tax-anticipated-for-upcoming-legislative-session/"
26003,"Oppose","42170","Organization","Down Home North Carolina","31706",NULL,"https://www.instagram.com/p/DBe6OBtvRJX/"
23913,"Support","23303","Government-State Senators","State Sen. Lou Ann Linehan",NULL,"35458","https://governor.nebraska.gov/press/governor-pillen-signs-historic-school-choice-bill"
27945,"Support","47961","Government-State Representatives","State Rep. William Lindstedt",NULL,"363817","https://leg.colorado.gov/bills/hb25-1274"
24418,"Support","33787","Government-Other","State Auditor Diana DiZoglio",NULL,"14484","https://ocpf.us/Filers?q=95510"
27999,"Support","48862","Organization","Nebraska Association of Resources Districts","34530",NULL,"https://nebraskalegislature.gov/bills/view_online_comments.php?DocumentID=59458"
27946,"Support","47970","Government-State Representatives","State Rep. Amy Paschal",NULL,"555417","https://leg.colorado.gov/bills/hb25-1274"
28005,"Support","49550","Organization","Plastics Pipe Institute, Inc.","34793",NULL,"https://www.citybuzz.co/2025/09/10/plastics-pipe-institute-endorses-texas-water-infrastructure-proposition-4/"
24334,"Support","33273","Organization","California Credit Union League","28298",NULL,"https://www.financialed4ca.com/ourcoalition"
27681,"Support","44580","Government-State Representatives","State Rep. Phil Jensen",NULL,"44476","https://sdlegislature.gov/Session/Bill/24498"
28073,"Support","49221","Organization","California Professional Firefighters","21641",NULL,"https://leginfo.legislature.ca.gov/faces/billAnalysisClient.xhtml?bill_id=202520260ACA8"
25883,"Oppose","38062","Government-State Representatives","State Rep. Scott Bottoms",NULL,"363797","https://x.com/repscottbottoms/status/1787246685355192667"
27717,"Support","45340","Government-State Representatives","State Rep. John Hughes",NULL,"547235","https://sdlegislature.gov/Session/Bill/25663"
23127,"Oppose","15374","Government-State Representatives","State Asm. Steve Yeager",NULL,"52864","https://thenevadaindependent.com/article/sisolak-rosen-and-other-top-democrats-oppose-ranked-choice-voting-measure"
24334,"Support","33270","Government-Local","Santa Clara County Board of Education Member Raeena Lari",NULL,"376594","https://www.financialed4ca.com/ourcoalition"
27946,"Support","47986","Government-State Representatives","State Rep. Elizabeth Velasco",NULL,"363843","https://leg.colorado.gov/bills/hb25-1274"
26031,"Oppose","40133","Organization","Backcountry Hunters and Anglers","29417",NULL,"https://wildlifedeservebetter.com/"
27525,"Oppose","48659","Organization","Democratic Congressional Campaign Committee","34",NULL,"https://mainecampaignfinance.com/index.html#/exploreCommitteeDetail/511210"
27681,"Support","44583","Government-State Representatives","State Rep. Tony Randolph",NULL,"300399","https://sdlegislature.gov/Session/Bill/24498"
25904,"Support","38104","Organization","Honest Elections Project","24266",NULL,"https://amac.us/newsline/society/missouri-victory-general-assembly-sends-constitutional-amendment-banning-foreign-citizen-voting-ranked-choice-voting-to-nov-ballot/"
25482,"Support","36871","Government-State Senators","State Sen. Donald Douglas",NULL,"341264","https://kentuckylantern.com/2024/03/15/game-changer-amendment-for-public-dollars-to-nonpublic-schools-clears-general-assembly/"
27566,"Oppose","43886","Government-State Representatives","State Del. Nick Freitas",NULL,"42098","https://www.vpm.org/news/2025-01-20/virginia-constitutional-amendments-abortion-marriage-equality-voting-rights"
25837,"Support","40929","Government-State Representatives","State Rep. Natha Anderson",NULL,"325137","https://voteyesnv.com/"
26028,"Support","39600","Organization","Represent.Us","20734",NULL,"https://www.makeelectionsfairaz.com/supporters"
26034,"Oppose","41419","Organization","Fair Elections Fund","31570",NULL,"https://www.votefair2024.com/states/ohio"
26090,"Support","39938","Organization","Advance Colorado Institute","27705",NULL,"https://coloradosun.com/2024/08/22/colorado-truth-in-sentencing-parole-ballot-measure/"
27931,"Support","47889","Government-State Representatives","Rep. Mike Lefor",NULL,"40753","https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo4007.html"
28073,"Support","49149","Government-State Representatives","State Asm. Stephanie Nguyen",NULL,"305699","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260ACA8"
27922,"Oppose","47577","Government-State Senators","State Sen. Jeff Yarbro",NULL,"24747","https://tnga.granicus.com/player/clip/29612?view_id=703&redirect=true"
23475,"Support","41889",NULL,"AIDS Healthcare Foundation","20700",NULL,"https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1458912&view=received"
27945,"Support","47975","Government-State Representatives","State Rep. Manny Rutinel",NULL,"517567","https://leg.colorado.gov/bills/hb25-1274"
27794,"Support","44842","Government-State Representatives","State Rep. Michael J. Aylesworth",NULL,"39596","https://legiscan.com/IN/sponsors/HJR0001/2025"
26107,"Support","42891","Government-State Representatives","State Asm. Isaac Bryan",NULL,"336811","https://sd29.senate.ca.gov/news/california-state-senator-josh-newman-introduces-recall-reform-legislation#:~:text=“The%20system%20in%20its%20current,of%20voters%2C”%20Newman%20said."
28073,"Support","49168","Government-State Senators","State Sen. Bob Archuleta",NULL,"298219","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260ACA8"
27516,"Support","44440","Organization","Ohio Municipal League","33452",NULL,"https://www.cleveland.com/news/2025/02/ohioans-to-vote-in-may-on-25b-infrastructure-bond-issue.html"
24538,"Support","40481","Organization","California State Association of Counties","21571",NULL,"https://voteyesprop36.com/our-coalition/#Social-Justice-and-Community-Advocates%E2%80%8B"
23551,"Support","26127","Organization","Oregon District Attorneys Association","27903",NULL,"https://olis.oregonlegislature.gov/liz/2023R1/Downloads/CommitteeMeetingDocument/276135"
25832,"Support","38011","Government-State Representatives","State Rep. Elisabeth Epps",NULL,"342425","https://coloradansforreproductivefreedom.com/our-coalition/"
26044,"Support","40861","Organization","Nebraska Family Alliance","31180",NULL,"https://nebraskafamilyalliance.org/protectwomenandchildren/"
