election_year,state,office_id,office_name,office_level,office_branch,district_id,district_ocdid,district_name,district_type,parent_district_id,parent_district_name,race_id,race_type,seats_up_for_election,race_url,election_date_id,election_date,election_date_district_type,stage_id,stage,stage_party,is_partisan_primary,stage_is_canceled,stage_is_ranked_choice,stage_write_in_other_votes,candidate_id,person_id,name,first_name,last_name,ballotpedia_url,gender,party_affiliation,is_incumbent,candidate_status,is_write_in,is_withdrawn_still_on_ballot,votes_for,votes_against,delegates_pledged,ranked_choice_voting_round
2024,WV,8433,West Virginia House of Delegates District 50,State,Legislative,7375,ocd-division/country:us/state:wv/sldl:50,West Virginia House of Delegates District 50,State Legislative (Lower),,,70073,Regular,1,"https://ballotpedia.org/West_Virginia_House_of_Delegates_elections,_2024",26135,2024-11-05,State,105622,General,,,false,false,,217283,529528,Jerry Allen,Jerry,Allen,https://ballotpedia.org/Jerry_Allen_(West_Virginia),Male,Democratic Party,false,Lost,false,false,1571,,,
2024,WI,36753,Milwaukee County Circuit Court Branch 39,Local,Judicial,13917,ocd-division/country:us/state:wi/county:milwaukee,Milwaukee,County,,,128570,Regular,1,"https://ballotpedia.org/Municipal_elections_in_Milwaukee_County,_Wisconsin_(2024)",28166,2024-04-02,State,208188,General,,,false,false,1191,217778,73010,Jane Carroll,Jane,Carroll,https://ballotpedia.org/Jane_Carroll,Female,Nonpartisan,true,Won,false,false,98808,,,
2024,OR,139167,Portland City Council District 3,Local,Legislative,124112,ocd-division/country:us/state:or/place:portland/council_district:3,Portland City Council District 3,City-town subdivision,85365,Portland,149381,Regular,3,"https://ballotpedia.org/City_elections_in_Portland,_Oregon_(2024)",26124,2024-11-05,State,234693,General,,,false,true,251,267239,580708,Kelly Janes,Kelly,Janes,https://ballotpedia.org/Kelly_Janes,,Nonpartisan,false,Lost,false,false,0,,,9
2024,MI,3441,Michigan House of Representatives District 110,State,Legislative,4758,ocd-division/country:us/state:mi/sldl:110,Michigan House of Representatives District 110,State Legislative (Lower),,,67135,Regular,1,"https://ballotpedia.org/Michigan_House_of_Representatives_elections,_2024",28030,2024-08-06,State,198097,Primary,Democratic Party,true,false,false,,243061,554881,Kim Corcoran,Kim,Corcoran,https://ballotpedia.org/Kim_Corcoran,Female,Democratic Party,false,Advanced,false,false,6793,,,
2024,NE,11116,Nebraska 4th District Court Todd Engleman's seat,Local,Judicial,61199,ocd-division/country:us/state:ne/district_court:4,Nebraska District 4,Judicial District,,,148164,Retention,1,"https://ballotpedia.org/Municipal_elections_in_Douglas_County,_Nebraska_(2024)",26114,2024-11-05,State,233369,General,,,false,false,,264276,339563,Todd Engleman,Todd,Engleman,https://ballotpedia.org/Todd_Engleman,,Nonpartisan,true,Won,false,false,136090,54058,,
2024,NY,15289,New York State Assembly District 93,State,Legislative,5851,ocd-division/country:us/state:ny/sldl:93,New York State Assembly District 93,State Legislative (Lower),,,68294,Regular,1,"https://ballotpedia.org/New_York_State_Assembly_elections,_2024",28049,2024-06-25,State,222174,Primary,Working Families Party,true,true,false,,242267,328159,Chris Burdick,Chris,Burdick,https://ballotpedia.org/Chris_Burdick,Male,Working Families Party,true,Advanced,false,false,,,,
2024,GA,2588,Georgia House of Representatives District 112,State,Legislative,3465,ocd-division/country:us/state:ga/sldl:112,Georgia House of Representatives District 112,State Legislative (Lower),,,65761,Regular,1,"https://ballotpedia.org/Georgia_House_of_Representatives_elections,_2024",26097,2024-11-05,State,101309,General,,,false,false,,225286,6502,Bruce Williamson,Bruce,Williamson,https://ballotpedia.org/Bruce_Williamson_(Georgia),Male,Republican Party,true,Won,false,false,28832,,,
2024,OR,139168,Portland City Council District 4,Local,Legislative,124111,ocd-division/country:us/state:or/place:portland/council_district:4,Portland City Council District 4,City-town subdivision,85365,Portland,149382,Regular,3,"https://ballotpedia.org/City_elections_in_Portland,_Oregon_(2024)",26124,2024-11-05,State,234694,General,,,false,true,233,267257,580725,Olivia Clark,Olivia,Clark,https://ballotpedia.org/Olivia_Clark,,Nonpartisan,false,Won,false,false,0,,,16
2024,CA,14540,Sacramento City Council District 2,Local,Legislative,93991,ocd-division/country:us/state:ca/place:sacramento/council_district:2,Sacramento City Council District 2,City-town subdivision,66882,Sacramento,128274,Regular,1,"https://ballotpedia.org/City_elections_in_Sacramento,_California_(2024)",26092,2024-11-05,State,207184,General,,,false,false,,216082,48316,Roger Dickinson,Roger,Dickinson,https://ballotpedia.org/Roger_Dickinson,Male,Nonpartisan,false,Won,false,false,8089,,,
2024,WA,42587,Spokane County Commission District 1,Local,Legislative,103149,ocd-division/country:us/state:wa/county:spokane/council_district:1,Spokane County Commission District 1,County subdivision,13869,Spokane,140509,Regular,1,"https://ballotpedia.org/Municipal_elections_in_Spokane_County,_Washington_(2024)",28054,2024-08-06,State,224095,Primary,,false,true,false,,246179,370761,Chris Jordan,Chris,Jordan,https://ballotpedia.org/Chris_Jordan_(Washington),Male,Democratic Party,true,Advanced,false,false,,,,
