"election_year","state","office_id","office_name","office_level","office_branch","district_id","district_ocdid","district_name","district_type","parent_district_id","parent_district_name","race_id","race_type","seats_up_for_election","race_url","election_date_id","election_date","election_date_district_type","stage_id","stage","stage_party","is_partisan_primary","stage_is_canceled","stage_is_ranked_choice","stage_write_in_other_votes","candidate_id","person_id","name","first_name","last_name","ballotpedia_url","gender","party_affiliation","is_incumbent","candidate_status","is_write_in","is_withdrawn_still_on_ballot","votes_for","votes_against","delegates_pledged","ranked_choice_voting_round"
2024,"WI","89069","White Lake Village Trustee","Local",NULL,"92914","ocd-division/country:us/state:wi/place:white_lake","White Lake","City-town",NULL,NULL,"136060","Regular",1,NULL,"28166","2024-04-02","State","217724","General",NULL,NULL,"false","false",NULL,"232166","545354","Amanda Lee Hatch","Amanda","Hatch","https://ballotpedia.org/Amanda_Lee_Hatch_(White_Lake_Village_Trustee,_Wisconsin,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MI","124786","Onota Township Board of Trustees At-large","Local","Legislative","108149",NULL,"Onota (Alger County)","City-town",NULL,NULL,"146120","Regular",2,NULL,"26109","2024-11-05","State","256632","General",NULL,NULL,"false","false",NULL,"260168","571738","Jennifer Hough","Jennifer","Hough","https://ballotpedia.org/Jennifer_Hough_(Onota_Township_Board_of_Trustees_At-large,_Michigan,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"WI","88653","Hortonville Village Trustee","Local",NULL,"92487","ocd-division/country:us/state:wi/place:hortonville","Hortonville","City-town",NULL,NULL,"129268","Regular",3,NULL,"28166","2024-04-02","State","215551","General",NULL,NULL,"false","false",NULL,"219073","530911","Jason Abendschein","Jason","Abendschein","https://ballotpedia.org/Jason_Abendschein_(Hortonville_Village_Trustee,_Wisconsin,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"IN","82035","Whitko Community School Corporation school board District 1","Local",NULL,"18759",NULL,"Whitko Community School Corporation","School District",NULL,NULL,"163119","Regular",1,NULL,"26101","2024-11-05","State","250311","General",NULL,NULL,"false","false",NULL,"293871","608405","Stephanie Campbell","Stephanie","Campbell","https://ballotpedia.org/Stephanie_Campbell_(Whitko_Community_School_Corporation_school_board_District_1,_Indiana,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"GA","116994","Chattooga County Coroner","Local","Executive","11226","ocd-division/country:us/state:ga/county:chattooga","Chattooga","County",NULL,NULL,"137735","Regular",1,NULL,"26319","2024-05-21","State","219943","Primary","Republican Party","true","false","false",NULL,"239004","550953","Jeremy McElhaney","Jeremy","McElhaney","https://ballotpedia.org/Jeremy_McElhaney_(Chattooga_County_Coroner,_Georgia,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MI","120491","Ingham County Board of Commissioners District 14","Local","Legislative","12075","ocd-division/country:us/state:mi/county:ingham","Ingham","County",NULL,NULL,"144633","Regular",1,NULL,"26109","2024-11-05","State","254467","General",NULL,NULL,"false","false",NULL,"257652","569222","Nikki Wang","Nikki","Wang","https://ballotpedia.org/Nikki_Wang_(Ingham_County_Board_of_Commissioners_District_14,_Michigan,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"AR","111788","Benton County Justice of the Peace District 10","Local","Legislative","10912","ocd-division/country:us/state:ar/county:benton","Benton","County",NULL,NULL,"130466","Regular",1,NULL,"26091","2024-11-05","State","242895","General",NULL,NULL,"false","false",NULL,"222577","534754","Danny McCrackin","Danny","McCrackin","https://ballotpedia.org/Danny_McCrackin_(Benton_County_Justice_of_the_Peace_District_10,_Arkansas,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MN","82425","Royalton Public School District school board, At-large","Local",NULL,"20693",NULL,"Royalton School District","School District",NULL,NULL,"152855","Regular",3,NULL,"26110","2024-11-05","State","238243","General",NULL,NULL,"false","false",NULL,"273498","587280","Jennifer Randt","Jennifer","Randt","https://ballotpedia.org/Jennifer_Randt_(Royalton_Public_School_District_school_board,_At-large,_Minnesota,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"RI","49785","Exeter Town Council","Local",NULL,"103580",NULL,"Exeter (Washington County)","City-town",NULL,NULL,"155451","Regular",1,NULL,"26126","2024-11-05","State","240868","General",NULL,NULL,"false","false",NULL,"279879","593833","Jamie Schiffer","Jamie","Schiffer","https://ballotpedia.org/Jamie_Schiffer_(Exeter_Town_Council,_Rhode_Island,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"AR","132979","Pottsville City Council Ward 1 Position 2","Local","Legislative","65050","ocd-division/country:us/state:ar/place:pottsville","Pottsville","City-town",NULL,NULL,"158345","Regular",1,NULL,"26091","2024-11-05","State","244443","General",NULL,NULL,"false","false",NULL,"284354","598662","Jessica Young","Jessica","Young","https://ballotpedia.org/Jessica_Young_(Pottsville_City_Council_Ward_1_Position_2,_Arkansas,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
